simulation_name,decodeToExecuteForwardDelay,executeBranchDelay,fetch2ToDecodeForwardDelay,clock,cycle_count
blender_r,1,1,1,1000,875277322
blender_r,5,5,5,1000,1231286501
blender_r,20,20,20,1000,3238433555
blender_r,1,1,1,500,867348534
blender_r,5,5,5,500,1223326359
blender_r,20,20,20,500,3230943847
cactuBSSN_r,1,1,1,1000,544796338
cactuBSSN_r,5,5,5,1000,620795168
cactuBSSN_r,20,20,20,1000,1370902507
cactuBSSN_r,1,1,1,500,543326930
cactuBSSN_r,5,5,5,500,619421870
cactuBSSN_r,20,20,20,500,1370009635
cam4_r,1,1,1,1000,743446033
cam4_r,5,5,5,1000,940383394
cam4_r,20,20,20,1000,2328099799
cam4_r,1,1,1,500,721213180
cam4_r,5,5,5,500,917216879
cam4_r,20,20,20,500,2327848739
deepsjeng_r,1,1,1,1000,4155296709
deepsjeng_r,5,5,5,1000,4495902934
deepsjeng_r,20,20,20,1000,6309791970
deepsjeng_r,1,1,1,500,3876952075
deepsjeng_r,5,5,5,500,4225407259
deepsjeng_r,20,20,20,500,6073261482
exchange2_r,1,1,1,1000,609789302
exchange2_r,5,5,5,1000,843128930
exchange2_r,20,20,20,1000,2353606656
exchange2_r,1,1,1,500,609783869
exchange2_r,5,5,5,500,843125622
exchange2_r,20,20,20,500,2353599845
imagick_r,1,1,1,1000,774956038
imagick_r,5,5,5,1000,918411185
imagick_r,20,20,20,1000,1776018624
imagick_r,1,1,1,500,774001076
imagick_r,5,5,5,500,916663379
imagick_r,20,20,20,500,1775327799
lbm_r,1,1,1,1000,1722938953
lbm_r,5,5,5,1000,1814114807
lbm_r,20,20,20,1000,2509085135
lbm_r,1,1,1,500,1642273309
lbm_r,5,5,5,500,1737966689
lbm_r,20,20,20,500,2419286813
leela_r,1,1,1,1000,458433752
leela_r,5,5,5,1000,673555519
leela_r,20,20,20,1000,2049511077
leela_r,1,1,1,500,458433677
leela_r,5,5,5,500,673555433
leela_r,20,20,20,500,2049510991
mcf_r,1,1,1,1000,664261004
mcf_r,5,5,5,1000,963692533
mcf_r,20,20,20,1000,2683194410
mcf_r,1,1,1,500,662898044
mcf_r,5,5,5,500,961788495
mcf_r,20,20,20,500,2681585065
nab_r,1,1,1,1000,710577449
nab_r,5,5,5,1000,1006061068
nab_r,20,20,20,1000,2759077383
nab_r,1,1,1,500,709987382
nab_r,5,5,5,500,1005721448
nab_r,20,20,20,500,2758888845
namd_r,1,1,1,1000,635704148
namd_r,5,5,5,1000,935169595
namd_r,20,20,20,1000,2617053813
namd_r,1,1,1,500,635624568
namd_r,5,5,5,500,935097060
namd_r,20,20,20,500,2616982828
omnetpp_r,1,1,1,1000,942490028
omnetpp_r,5,5,5,1000,1289788583
omnetpp_r,20,20,20,1000,3159811949
omnetpp_r,1,1,1,500,941445766
omnetpp_r,5,5,5,500,1288798193
omnetpp_r,20,20,20,500,3158935255
perlbench_r,1,1,1,1000,864705379
perlbench_r,5,5,5,1000,1126201977
perlbench_r,20,20,20,1000,2718990874
perlbench_r,1,1,1,500,862911568
perlbench_r,5,5,5,500,1124420244
perlbench_r,20,20,20,500,2717448278
povray_r,1,1,1,1000,123219739
povray_r,5,5,5,1000,169099080
povray_r,20,20,20,1000,425972868
povray_r,1,1,1,500,122919301
povray_r,5,5,5,500,168812378
povray_r,20,20,20,500,425738929
xalancbmk_r,1,1,1,1000,884888045
xalancbmk_r,5,5,5,1000,1180265161
xalancbmk_r,20,20,20,1000,2873097216
xalancbmk_r,1,1,1,500,883578803
xalancbmk_r,5,5,5,500,1178967726
xalancbmk_r,20,20,20,500,2871897701
xz_r,1,1,1,1000,495493018
xz_r,5,5,5,1000,721999285
xz_r,20,20,20,1000,2136517846
xz_r,1,1,1,500,494958054
xz_r,5,5,5,500,721456074
xz_r,20,20,20,500,2135988642
