simulation_name,iewToFetchDelay,cycle_count
blender_r,1,285699493
blender_r,2,287875381
blender_r,4,291976589
cactuBSSN_r,1,145984038
cactuBSSN_r,2,146568566
cactuBSSN_r,4,147577722
cam4_r,1,365402191
cam4_r,2,366357079
cam4_r,4,365730543
deepsjeng_r,1,3643703263
deepsjeng_r,2,3644480716
deepsjeng_r,4,3645881829
exchange2_r,1,142614507
exchange2_r,2,144477247
exchange2_r,4,148224512
fotonik3d_r,1,183042312
fotonik3d_r,2,184158938
fotonik3d_r,4,186093464
gcc_r,1,353325724
gcc_r,2,355044227
gcc_r,4,358690659
imagick_r,1,132401970
imagick_r,2,133178185
imagick_r,4,134280243
lbm_r,1,1189423833
lbm_r,2,1189113243
lbm_r,4,1189089531
leela_r,1,130102474
leela_r,2,130332986
leela_r,4,131543966
mcf_r,1,151114152
mcf_r,2,151210347
mcf_r,4,151799342
nab_r,1,172027759
nab_r,2,174514943
nab_r,4,179828716
namd_r,1,127064529
namd_r,2,127764292
namd_r,4,128849366
omnetpp_r,1,304674403
omnetpp_r,2,307951543
omnetpp_r,4,315189025
perlbench_r,1,291032303
perlbench_r,2,293607455
perlbench_r,4,297474376
povray_r,1,161829883
povray_r,2,163099194
povray_r,4,165443141
wrf_r,1,450841781
wrf_r,2,451110447
wrf_r,4,451718801
x264_r,1,212742678
x264_r,2,213077169
x264_r,4,213297346
xalancbmk_r,1,227645761
xalancbmk_r,2,228695427
xalancbmk_r,4,230931579
xz_r,1,228779230
xz_r,2,232626328
xz_r,4,240322939
