simulation_name,Difference,branch_correct,branch_miss,branch_miss_2,icache_tags,icache_demands,icache_reads,icache_hits,rename_squashed,decode_squashed
blender_r,2.17,2400651,2198449,2327287,86383229,43146124,43146124,43049102,32283505,2342792
cactuBSSN_r,1.09,549459,507407,517290,58114549,28981396,28981396,28820281,5481608,527102
cam4_r,0.09,238494,225351,226588,27248408,13567488,13567488,13449074,3282761,259562
deepsjeng_r,0.06,966204,898033,862394,40687143,19962798,19962798,19150661,8268223,1043059
exchange2_r,3.86,1919763,1857399,1888224,87370897,43624310,43624310,43489796,24026496,1928847
fotonik3d_r,1.65,1225511,1181192,831347,83802977,40775337,40775337,38499952,6037508,833640
gcc_r,1.51,3405811,3052960,2444213,99569586,45491416,45491416,36535524,14063712,2481363
imagick_r,1.41,31358,30303,30153,53048539,26521684,26521684,26515883,243792,89707
lbm_r,0.03,44141,43801,42449,49794022,24896844,24896844,24896454,640847,120421
leela_r,1.1,475642,471855,475631,51183219,25591607,25591607,25591595,6685060,478357
mcf_r,0.45,686062,665906,452742,81236468,40617911,40617911,40617238,5165194,457955
nab_r,0.26,2913317,2652241,2798558,106042474,52927214,52927214,52733489,29564861,2802244
namd_r,1.39,352556,351830,352348,82553704,41258672,41258672,41222157,4567371,354489
omnetpp_r,3.39,4750903,4091563,4285182,121682381,57959177,57959177,51957330,36000112,4307135
perlbench_r,2.19,3339596,2924302,2750457,100174725,47211840,47211840,41145726,20849682,2797275
povray_r,2.21,1595252,1549529,1167715,87354119,43274008,43274008,42441138,17301606,1176157
wrf_r,0.19,948845,893815,785512,44922273,22040474,22040474,21149428,4532809,824473
x264_r,0.26,75226,74659,74987,41358355,20678722,20678722,20677679,1248100,83733
xalancbmk_r,1.43,1636349,1566183,1301779,76659287,36305603,36305603,32148742,13849666,1308181
xz_r,4.92,4021681,3990999,4021129,137351031,68670736,68670736,68660530,43455855,4049743
