simulation_name,decodeToExecuteForwardDelay,executeBranchDelay,fetch2ToDecodeForwardDelay,clock,cycle_count
blender_r,1,1,1,1000,875277322
blender_r,1,5,1,1000,996519384
blender_r,1,20,1,1000,1496720922
blender_r,1,1,1,500,867348534
blender_r,1,5,1,500,988481948
blender_r,1,20,1,500,1488991724
cactuBSSN_r,1,1,1,1000,544796338
cactuBSSN_r,1,5,1,1000,572093427
cactuBSSN_r,1,20,1,1000,678515604
cactuBSSN_r,1,1,1,500,543326930
cactuBSSN_r,1,5,1,500,570522446
cactuBSSN_r,1,20,1,500,677368621
cam4_r,1,1,1,1000,743446033
cam4_r,1,5,1,1000,814979244
cam4_r,1,20,1,1000,1101006958
cam4_r,1,1,1,500,721213180
cam4_r,1,5,1,500,792009587
cam4_r,1,20,1,500,1084315182
deepsjeng_r,1,1,1,1000,4155296709
deepsjeng_r,1,5,1,1000,4254643347
deepsjeng_r,1,20,1,1000,4694486837
deepsjeng_r,1,1,1,500,3876952075
deepsjeng_r,1,5,1,500,4004162410
deepsjeng_r,1,20,1,500,4453358994
exchange2_r,1,1,1,1000,609789302
exchange2_r,1,5,1,1000,689423936
exchange2_r,1,20,1,1000,1010046603
exchange2_r,1,1,1,500,609783869
exchange2_r,1,5,1,500,689419124
exchange2_r,1,20,1,500,1010040868
imagick_r,1,1,1,1000,774956038
imagick_r,1,5,1,1000,827196259
imagick_r,1,20,1,1000,1019075916
imagick_r,1,1,1,500,774001076
imagick_r,1,5,1,500,826024844
imagick_r,1,20,1,500,1016996005
lbm_r,1,1,1,1000,1722938953
lbm_r,1,5,1,1000,1757073613
lbm_r,1,20,1,1000,1893858146
lbm_r,1,1,1,500,1642273309
lbm_r,1,5,1,500,1676978539
lbm_r,1,20,1,500,1808980961
leela_r,1,1,1,1000,458433752
leela_r,1,5,1,1000,531855305
leela_r,1,20,1,1000,819186004
leela_r,1,1,1,500,458433677
leela_r,1,5,1,500,531855222
leela_r,1,20,1,500,819185880
mcf_r,1,1,1,1000,664261004
mcf_r,1,5,1,1000,774637195
mcf_r,1,20,1,1000,1161774613
mcf_r,1,1,1,500,662898044
mcf_r,1,5,1,500,773080790
mcf_r,1,20,1,500,1160263911
nab_r,1,1,1,1000,710577449
nab_r,1,5,1,1000,813210170
nab_r,1,20,1,1000,1200762724
nab_r,1,1,1,500,709987382
nab_r,1,5,1,500,812665787
nab_r,1,20,1,500,1200406559
namd_r,1,1,1,1000,635704148
namd_r,1,5,1,1000,744516440
namd_r,1,20,1,1000,1133125311
namd_r,1,1,1,500,635624568
namd_r,1,5,1,500,744443747
namd_r,1,20,1,500,1133059084
omnetpp_r,1,1,1,1000,942490028
omnetpp_r,1,5,1,1000,1070551026
omnetpp_r,1,20,1,1000,1563352019
omnetpp_r,1,1,1,500,941445766
omnetpp_r,1,5,1,500,1069531934
omnetpp_r,1,20,1,500,1562344634
perlbench_r,1,1,1,1000,864705379
perlbench_r,1,5,1,1000,957677601
perlbench_r,1,20,1,1000,1344203144
perlbench_r,1,1,1,500,862911568
perlbench_r,1,5,1,500,955907580
perlbench_r,1,20,1,500,1342450110
povray_r,1,1,1,1000,123219739
povray_r,1,5,1,1000,140194396
povray_r,1,20,1,1000,206775970
povray_r,1,1,1,500,122919301
povray_r,1,5,1,500,139921275
povray_r,1,20,1,500,206499752
xalancbmk_r,1,1,1,1000,884888045
xalancbmk_r,1,5,1,1000,1003395560
xalancbmk_r,1,20,1,1000,1430028052
xalancbmk_r,1,1,1,500,883578803
xalancbmk_r,1,5,1,500,1002065103
xalancbmk_r,1,20,1,500,1428650320
xz_r,1,1,1,1000,495493018
xz_r,1,5,1,1000,569169453
xz_r,1,20,1,1000,864137607
xz_r,1,1,1,500,494958054
xz_r,1,5,1,500,568647602
xz_r,1,20,1,500,863607266
