simulation_name,decodeToExecuteForwardDelay,executeBranchDelay,fetch2ToDecodeForwardDelay,clock,cycle_count
blender_r,1,1,1,1000,875277322
blender_r,1,1,5,1000,970581332
blender_r,1,1,20,1000,1901732414
blender_r,1,1,1,500,867348534
blender_r,1,1,5,500,962685479
blender_r,1,1,20,500,1893723730
cactuBSSN_r,1,1,1,1000,544796338
cactuBSSN_r,1,1,5,1000,563465727
cactuBSSN_r,1,1,20,1000,1084129037
cactuBSSN_r,1,1,1,500,543326930
cactuBSSN_r,1,1,5,500,561896074
cactuBSSN_r,1,1,20,500,1083062676
cam4_r,1,1,1,1000,743446033
cam4_r,1,1,5,1000,796771052
cam4_r,1,1,20,1000,1518183983
cam4_r,1,1,1,500,721213180
cam4_r,1,1,5,500,771143750
cam4_r,1,1,20,500,1482911554
deepsjeng_r,1,1,1,1000,4155296709
deepsjeng_r,1,1,5,1000,4250079829
deepsjeng_r,1,1,20,1000,5092158560
deepsjeng_r,1,1,1,500,3876952075
deepsjeng_r,1,1,5,500,3999178276
deepsjeng_r,1,1,20,500,4846249037
exchange2_r,1,1,1,1000,609789302
exchange2_r,1,1,5,1000,672802661
exchange2_r,1,1,20,1000,1467944296
exchange2_r,1,1,1,500,609783869
exchange2_r,1,1,5,500,672797989
exchange2_r,1,1,20,500,1467940759
imagick_r,1,1,1,1000,774956038
imagick_r,1,1,5,1000,812671857
imagick_r,1,1,20,1000,1228267650
imagick_r,1,1,1,500,774001076
imagick_r,1,1,5,500,811326819
imagick_r,1,1,20,500,1225931332
lbm_r,1,1,1,1000,1722938953
lbm_r,1,1,5,1000,1750455649
lbm_r,1,1,20,1000,2107693446
lbm_r,1,1,1,500,1642273309
lbm_r,1,1,5,500,1671273049
lbm_r,1,1,20,500,2030848573
leela_r,1,1,1,1000,458433752
leela_r,1,1,5,1000,525018108
leela_r,1,1,20,1000,1362825256
leela_r,1,1,1,500,458433677
leela_r,1,1,5,500,525018033
leela_r,1,1,20,500,1362825190
mcf_r,1,1,1,1000,664261004
mcf_r,1,1,5,1000,754019280
mcf_r,1,1,20,1000,1608817528
mcf_r,1,1,1,500,662898044
mcf_r,1,1,5,500,752694629
mcf_r,1,1,20,500,1607320794
nab_r,1,1,1,1000,710577449
nab_r,1,1,5,1000,787915843
nab_r,1,1,20,1000,1640062015
nab_r,1,1,1,500,709987382
nab_r,1,1,5,500,787537051
nab_r,1,1,20,500,1639797253
namd_r,1,1,1,1000,635704148
namd_r,1,1,5,1000,727185976
namd_r,1,1,20,1000,1576027144
namd_r,1,1,1,500,635624568
namd_r,1,1,5,500,727095190
namd_r,1,1,20,500,1575975261
omnetpp_r,1,1,1,1000,942490028
omnetpp_r,1,1,5,1000,1028654423
omnetpp_r,1,1,20,1000,1898651264
omnetpp_r,1,1,1,500,941445766
omnetpp_r,1,1,5,500,1027589199
omnetpp_r,1,1,20,500,1897690648
perlbench_r,1,1,1,1000,864705379
perlbench_r,1,1,5,1000,931866403
perlbench_r,1,1,20,1000,1724530443
perlbench_r,1,1,1,500,862911568
perlbench_r,1,1,5,500,930058003
perlbench_r,1,1,20,500,1722862807
povray_r,1,1,1,1000,123219739
povray_r,1,1,5,1000,135096450
povray_r,1,1,20,1000,255203899
povray_r,1,1,1,500,122919301
povray_r,1,1,5,500,134842919
povray_r,1,1,20,500,254950559
xalancbmk_r,1,1,1,1000,884888045
xalancbmk_r,1,1,5,1000,962488758
xalancbmk_r,1,1,20,1000,1781065999
xalancbmk_r,1,1,1,500,883578803
xalancbmk_r,1,1,5,500,961135456
xalancbmk_r,1,1,20,500,1779823992
xz_r,1,1,1,1000,495493018
xz_r,1,1,5,1000,566989645
xz_r,1,1,20,1000,1357533002
xz_r,1,1,1,500,494958054
xz_r,1,1,5,500,566458340
xz_r,1,1,20,500,1356986634
