simulation_name,decodeToExecuteForwardDelay,executeBranchDelay,fetch2ToDecodeForwardDelay,clock,cycle_count
blender_r,1,1,1,1000,875277322
blender_r,5,1,1,1000,992979009
blender_r,20,1,1,1000,2178565483
cactuBSSN_r,1,1,1,1000,544796338
cactuBSSN_r,5,1,1,1000,572257718
cactuBSSN_r,20,1,1,1000,923118816
cam4_r,1,1,1,1000,743446033
cam4_r,5,1,1,1000,818370702
cam4_r,20,1,1,1000,1531523033
deepsjeng_r,1,1,1,1000,4155296709
deepsjeng_r,5,1,1,1000,4253837495
deepsjeng_r,20,1,1,1000,5144078059
exchange2_r,1,1,1,1000,609789302
exchange2_r,5,1,1,1000,691193739
exchange2_r,20,1,1,1000,1577616498
imagick_r,1,1,1,1000,774956038
imagick_r,5,1,1,1000,827147335
imagick_r,20,1,1,1000,1278310129
lbm_r,1,1,1,1000,1722938953
lbm_r,5,1,1,1000,1755592774
lbm_r,20,1,1,1000,2103946621
leela_r,1,1,1,1000,458433752
leela_r,5,1,1,1000,532283157
leela_r,20,1,1,1000,1220259057
mcf_r,1,1,1,1000,664261004
mcf_r,5,1,1,1000,768829772
mcf_r,20,1,1,1000,1709286896
nab_r,1,1,1,1000,710577449
nab_r,5,1,1,1000,810252005
nab_r,20,1,1,1000,1719988047
namd_r,1,1,1,1000,635704148
namd_r,5,1,1,1000,740756630
namd_r,20,1,1,1000,1641891557
omnetpp_r,1,1,1,1000,942490028
omnetpp_r,5,1,1,1000,1063350952
omnetpp_r,20,1,1,1000,2080240665
perlbench_r,1,1,1,1000,864705379
perlbench_r,5,1,1,1000,955423227
perlbench_r,20,1,1,1000,1822310979
povray_r,1,1,1,1000,123219739
povray_r,5,1,1,1000,138994794
povray_r,20,1,1,1000,281822033
xalancbmk_r,1,1,1,1000,884888045
xalancbmk_r,5,1,1,1000,984965210
xalancbmk_r,20,1,1,1000,1873968343
xz_r,1,1,1,1000,495493018
xz_r,5,1,1,1000,571750802
xz_r,20,1,1,1000,1275403821
blender_r,1,1,1,500,867348534
blender_r,5,1,1,500,985111122
blender_r,20,1,1,500,2170952874
cactuBSSN_r,1,1,1,500,543326930
cactuBSSN_r,5,1,1,500,570366639
cactuBSSN_r,20,1,1,500,921996938
cam4_r,1,1,1,500,721213180
cam4_r,5,1,1,500,794113072
cam4_r,20,1,1,500,1525470000
deepsjeng_r,1,1,1,500,3876952075
deepsjeng_r,5,1,1,500,3999006930
deepsjeng_r,20,1,1,500,4892262798
exchange2_r,1,1,1,500,609783869
exchange2_r,5,1,1,500,691190538
exchange2_r,20,1,1,500,1577611481
imagick_r,1,1,1,500,774001076
imagick_r,5,1,1,500,825177037
imagick_r,20,1,1,500,1277061336
lbm_r,1,1,1,500,1642273309
lbm_r,5,1,1,500,1673812925
lbm_r,20,1,1,500,2024913739
leela_r,1,1,1,500,458433677
leela_r,5,1,1,500,532283084
leela_r,20,1,1,500,1220258981
mcf_r,1,1,1,500,662898044
mcf_r,5,1,1,500,767132213
mcf_r,20,1,1,500,1707573848
nab_r,1,1,1,500,709987382
nab_r,5,1,1,500,809651666
nab_r,20,1,1,500,1719317498
namd_r,1,1,1,500,635624568
namd_r,5,1,1,500,740686618
namd_r,20,1,1,500,1641825953
omnetpp_r,1,1,1,500,941445766
omnetpp_r,5,1,1,500,1062339819
omnetpp_r,20,1,1,500,2079308341
perlbench_r,1,1,1,500,862911568
perlbench_r,5,1,1,500,953620195
perlbench_r,20,1,1,500,1820602052
povray_r,1,1,1,500,122919301
povray_r,5,1,1,500,138742701
povray_r,20,1,1,500,281529897
xalancbmk_r,1,1,1,500,883578803
xalancbmk_r,5,1,1,500,983574964
xalancbmk_r,20,1,1,500,1872674666
xz_r,1,1,1,500,494958054
xz_r,5,1,1,500,571214496
xz_r,20,1,1,500,1274888438
