simulation_name,fetchToDecodeDelay,decodeToRenameDelay,renameToIEWDelay,clock,cycle_count
blender_r,1,1,1,1000,290800633
blender_r,1,5,1,1000,299012906
blender_r,1,20,1,1000,331090639
blender_r,1,1,1,500,282902924
blender_r,1,5,1,500,291087436
blender_r,1,20,1,500,323167271
cactuBSSN_r,1,1,1,1000,149178795
cactuBSSN_r,1,5,1,1000,151255952
cactuBSSN_r,1,20,1,1000,159395827
cactuBSSN_r,1,1,1,500,146479564
cactuBSSN_r,1,5,1,500,148553194
cactuBSSN_r,1,20,1,500,156687351
cam4_r,1,1,1,1000,389930335
cam4_r,1,5,1,1000,388666033
cam4_r,1,20,1,1000,390321512
cam4_r,1,1,1,500,366166882
cam4_r,1,5,1,500,365686813
cam4_r,1,20,1,500,367361389
deepsjeng_r,1,1,1,1000,3879958018
deepsjeng_r,1,5,1,1000,3883975075
deepsjeng_r,1,20,1,1000,3899918601
deepsjeng_r,1,1,1,500,3642684219
deepsjeng_r,1,5,1,500,3645630497
deepsjeng_r,1,20,1,500,3664138050
exchange2_r,1,1,1,1000,140520454
exchange2_r,1,5,1,1000,147866450
exchange2_r,1,20,1,1000,175850061
exchange2_r,1,1,1,500,140518101
exchange2_r,1,5,1,500,147866193
exchange2_r,1,20,1,500,175849637
fotonik3d_r,1,1,1,1000,182040109
fotonik3d_r,1,5,1,1000,185962081
fotonik3d_r,1,20,1,1000,199537915
fotonik3d_r,1,1,1,500,181885246
fotonik3d_r,1,5,1,500,185810799
fotonik3d_r,1,20,1,500,199437233
gcc_r,1,1,1,1000,353544830
gcc_r,1,5,1,1000,360761780
gcc_r,1,20,1,1000,388213823
gcc_r,1,1,1,500,351183621
gcc_r,1,5,1,500,358436362
gcc_r,1,20,1,500,385926110
imagick_r,1,1,1,1000,131625279
imagick_r,1,5,1,1000,133208952
imagick_r,1,20,1,1000,140720499
imagick_r,1,1,1,500,130185010
imagick_r,1,5,1,500,131709796
imagick_r,1,20,1,500,139267083
lbm_r,1,1,1,1000,1264054994
lbm_r,1,5,1,1000,1270842741
lbm_r,1,20,1,1000,1266802699
lbm_r,1,1,1,500,1186871584
lbm_r,1,5,1,500,1193362852
lbm_r,1,20,1,500,1188723220
leela_r,1,1,1,1000,129158600
leela_r,1,5,1,1000,131234828
leela_r,1,20,1,1000,142349205
leela_r,1,1,1,500,129158604
leela_r,1,5,1,500,131234828
leela_r,1,20,1,500,142349204
mcf_r,1,1,1,1000,152666434
mcf_r,1,5,1,1000,153761563
mcf_r,1,20,1,1000,157734243
mcf_r,1,1,1,500,150874250
mcf_r,1,5,1,500,151638696
mcf_r,1,20,1,500,156593599
nab_r,1,1,1,1000,168121794
nab_r,1,5,1,1000,178719901
nab_r,1,20,1,1000,218794709
nab_r,1,1,1,500,167457535
nab_r,1,5,1,500,178057970
nab_r,1,20,1,500,218163716
namd_r,1,1,1,1000,126732860
namd_r,1,5,1,1000,129404149
namd_r,1,20,1,1000,136252041
namd_r,1,1,1,500,126597148
namd_r,1,5,1,500,129251198
namd_r,1,20,1,500,136117979
omnetpp_r,1,1,1,1000,293395922
omnetpp_r,1,5,1,1000,307638585
omnetpp_r,1,20,1,1000,362584162
omnetpp_r,1,1,1,500,292225340
omnetpp_r,1,5,1,500,306519515
omnetpp_r,1,20,1,500,361384997
perlbench_r,1,1,1,1000,289991395
perlbench_r,1,5,1,1000,299103430
perlbench_r,1,20,1,1000,334180372
perlbench_r,1,1,1,500,288248262
perlbench_r,1,5,1,500,297422668
perlbench_r,1,20,1,500,332138657
povray_r,1,1,1,1000,161272719
povray_r,1,5,1,1000,165774188
povray_r,1,20,1,1000,185521844
povray_r,1,1,1,500,160943590
povray_r,1,5,1,500,165463069
povray_r,1,20,1,500,185184229
wrf_r,1,1,1,1000,474159689
wrf_r,1,5,1,1000,475430972
wrf_r,1,20,1,1000,479705692
wrf_r,1,1,1,500,450467074
wrf_r,1,5,1,500,451803145
wrf_r,1,20,1,500,456024755
x264_r,1,1,1,1000,215755592
x264_r,1,5,1,1000,216600532
x264_r,1,20,1,1000,229012349
x264_r,1,1,1,500,210725841
x264_r,1,5,1,500,212592555
x264_r,1,20,1,500,223409189
xalancbmk_r,1,1,1,1000,224580503
xalancbmk_r,1,5,1,1000,228849895
xalancbmk_r,1,20,1,1000,248081316
xalancbmk_r,1,1,1,500,224066631
xalancbmk_r,1,5,1,500,228400131
xalancbmk_r,1,20,1,500,247677404
xz_r,1,1,1,1000,223621301
xz_r,1,5,1,1000,239272956
xz_r,1,20,1,1000,298637483
xz_r,1,1,1,500,223255046
xz_r,1,5,1,500,238858378
xz_r,1,20,1,500,298215649
