simulation_name,fetchToDecodeDelay,decodeToRenameDelay,renameToIEWDelay,clock,cycle_count
blender_r,1,1,1,500,282903070
blender_r,5,1,1,500,290026695
blender_r,20,1,1,500,328404008
cactuBSSN_r,1,1,1,500,146479564
cactuBSSN_r,5,1,1,500,148627385
cactuBSSN_r,20,1,1,500,157661195
cam4_r,1,1,1,500,366166882
cam4_r,5,1,1,500,365628152
cam4_r,20,1,1,500,367237094
deepsjeng_r,1,1,1,500,3642684219
deepsjeng_r,5,1,1,500,3645959839
deepsjeng_r,20,1,1,500,3665256928
exchange2_r,1,1,1,500,140518101
exchange2_r,5,1,1,500,147822690
exchange2_r,20,1,1,500,177731863
fotonik3d_r,1,1,1,500,181885246
fotonik3d_r,5,1,1,500,187376744
fotonik3d_r,20,1,1,500,213511449
gcc_r,1,1,1,500,351183621
gcc_r,5,1,1,500,360713371
gcc_r,20,1,1,500,398848649
imagick_r,1,1,1,500,130185010
imagick_r,5,1,1,500,130933220
imagick_r,20,1,1,500,139317472
lbm_r,1,1,1,500,1186871584
lbm_r,5,1,1,500,1188611326
lbm_r,20,1,1,500,1189117858
leela_r,1,1,1,500,129158604
leela_r,5,1,1,500,130985652
leela_r,20,1,1,500,142832413
mcf_r,1,1,1,500,150874250
mcf_r,5,1,1,500,151707290
mcf_r,20,1,1,500,156663588
nab_r,1,1,1,500,167457535
nab_r,5,1,1,500,178400627
nab_r,20,1,1,500,221299145
namd_r,1,1,1,500,126597148
namd_r,5,1,1,500,128657246
namd_r,20,1,1,500,136764621
omnetpp_r,1,1,1,500,292225340
omnetpp_r,5,1,1,500,306138057
omnetpp_r,20,1,1,500,367044036
perlbench_r,1,1,1,500,288248262
perlbench_r,5,1,1,500,298034361
perlbench_r,20,1,1,500,339000129
povray_r,1,1,1,500,160943590
povray_r,5,1,1,500,166947767
povray_r,20,1,1,500,197052023
wrf_r,1,1,1,500,450467074
wrf_r,5,1,1,500,451717375
wrf_r,20,1,1,500,457659173
x264_r,1,1,1,500,210725841
x264_r,5,1,1,500,212687876
x264_r,20,1,1,500,222895831
xalancbmk_r,1,1,1,500,224066631
xalancbmk_r,5,1,1,500,229335213
xalancbmk_r,20,1,1,500,253906924
xz_r,1,1,1,500,223255046
xz_r,5,1,1,500,237444686
xz_r,20,1,1,500,300283377
blender_r,1,1,1,1000,290800779
blender_r,5,1,1,1000,297982937
blender_r,20,1,1,1000,336340310
cactuBSSN_r,1,1,1,1000,149178795
cactuBSSN_r,5,1,1,1000,151292276
cactuBSSN_r,20,1,1,1000,160355004
cam4_r,1,1,1,1000,389930335
cam4_r,5,1,1,1000,388642239
cam4_r,20,1,1,1000,390489668
deepsjeng_r,1,1,1,1000,3879958018
deepsjeng_r,5,1,1,1000,3885736516
deepsjeng_r,20,1,1,1000,3902158194
exchange2_r,1,1,1,1000,140520454
exchange2_r,5,1,1,1000,147823696
exchange2_r,20,1,1,1000,177733028
fotonik3d_r,1,1,1,1000,182040109
fotonik3d_r,5,1,1,1000,187452255
fotonik3d_r,20,1,1,1000,213662842
gcc_r,1,1,1,1000,353544830
gcc_r,5,1,1,1000,363092751
gcc_r,20,1,1,1000,401167957
imagick_r,1,1,1,1000,131625279
imagick_r,5,1,1,1000,132460520
imagick_r,20,1,1,1000,140862738
lbm_r,1,1,1,1000,1264054994
lbm_r,5,1,1,1000,1266202386
lbm_r,20,1,1,1000,1267766649
leela_r,1,1,1,1000,129158600
leela_r,5,1,1,1000,130985768
leela_r,20,1,1,1000,142832437
mcf_r,1,1,1,1000,152666434
mcf_r,5,1,1,1000,153786129
mcf_r,20,1,1,1000,157847218
nab_r,1,1,1,1000,168121794
nab_r,5,1,1,1000,179072635
nab_r,20,1,1,1000,221909133
namd_r,1,1,1,1000,126732860
namd_r,5,1,1,1000,128804052
namd_r,20,1,1,1000,136889697
omnetpp_r,1,1,1,1000,293395922
omnetpp_r,5,1,1,1000,307390611
omnetpp_r,20,1,1,1000,368041640
perlbench_r,1,1,1,1000,289991395
perlbench_r,5,1,1,1000,299731718
perlbench_r,20,1,1,1000,340664978
povray_r,1,1,1,1000,161272719
povray_r,5,1,1,1000,167273120
povray_r,20,1,1,1000,197410014
wrf_r,1,1,1,1000,474159689
wrf_r,5,1,1,1000,475392748
wrf_r,20,1,1,1000,481224872
x264_r,1,1,1,1000,215755592
x264_r,5,1,1,1000,216620091
x264_r,20,1,1,1000,228268128
xalancbmk_r,1,1,1,1000,224580503
xalancbmk_r,5,1,1,1000,229816106
xalancbmk_r,20,1,1,1000,254262068
xz_r,1,1,1,1000,223621301
xz_r,5,1,1,1000,237862728
xz_r,20,1,1,1000,300641492
