simulation_name,fetchToDecodeDelay,decodeToRenameDelay,renameToIEWDelay,clock,cycle_count
blender_r,1,1,1,1000,290798278
blender_r,1,1,5,1000,303561421
blender_r,1,1,20,1000,393795272
blender_r,1,1,1,500,282903021
blender_r,1,1,5,500,295833913
blender_r,1,1,20,500,386130198
cactuBSSN_r,1,1,1,1000,149178795
cactuBSSN_r,1,1,5,1000,151759436
cactuBSSN_r,1,1,20,1000,202496760
cactuBSSN_r,1,1,1,500,146479564
cactuBSSN_r,1,1,5,500,149104509
cactuBSSN_r,1,1,20,500,199813543
cam4_r,1,1,1,1000,389930335
cam4_r,1,1,5,1000,388871227
cam4_r,1,1,20,1000,401419619
cam4_r,1,1,1,500,366166882
cam4_r,1,1,5,500,365830881
cam4_r,1,1,20,500,378411729
deepsjeng_r,1,1,1,1000,3879958018
deepsjeng_r,1,1,5,1000,3886902869
deepsjeng_r,1,1,20,1000,3911995491
deepsjeng_r,1,1,1,500,3642684219
deepsjeng_r,1,1,5,500,3647708532
deepsjeng_r,1,1,20,500,3676327454
exchange2_r,1,1,1,1000,140520454
exchange2_r,1,1,5,1000,150055581
exchange2_r,1,1,20,1000,235450318
exchange2_r,1,1,1,500,140518101
exchange2_r,1,1,5,500,150054614
exchange2_r,1,1,20,500,235447568
fotonik3d_r,1,1,1,1000,182040109
fotonik3d_r,1,1,5,1000,186004668
fotonik3d_r,1,1,20,1000,236177703
fotonik3d_r,1,1,1,500,181885246
fotonik3d_r,1,1,5,500,185867617
fotonik3d_r,1,1,20,500,236050824
gcc_r,1,1,1,1000,353544830
gcc_r,1,1,5,1000,361815766
gcc_r,1,1,20,1000,417325561
gcc_r,1,1,1,500,351183621
gcc_r,1,1,5,500,359465933
gcc_r,1,1,20,500,414999026
imagick_r,1,1,1,1000,131625279
imagick_r,1,1,5,1000,140249390
imagick_r,1,1,20,1000,193428891
imagick_r,1,1,1,500,130185010
imagick_r,1,1,5,500,138785215
imagick_r,1,1,20,500,192035187
lbm_r,1,1,1,1000,1264054994
lbm_r,1,1,5,1000,1272767928
lbm_r,1,1,20,1000,1311188284
lbm_r,1,1,1,500,1186871584
lbm_r,1,1,5,500,1194441219
lbm_r,1,1,20,500,1232949983
leela_r,1,1,1,1000,129158600
leela_r,1,1,5,1000,132997576
leela_r,1,1,20,1000,171427585
leela_r,1,1,1,500,129158604
leela_r,1,1,5,500,132997583
leela_r,1,1,20,500,171427585
mcf_r,1,1,1,1000,152666434
mcf_r,1,1,5,1000,154635062
mcf_r,1,1,20,1000,198739964
mcf_r,1,1,1,500,150874250
mcf_r,1,1,5,500,152347751
mcf_r,1,1,20,500,197295131
nab_r,1,1,1,1000,168121794
nab_r,1,1,5,1000,184902201
nab_r,1,1,20,1000,268583887
nab_r,1,1,1,500,167457535
nab_r,1,1,5,500,184270310
nab_r,1,1,20,500,267970340
namd_r,1,1,1,1000,126732860
namd_r,1,1,5,1000,129502222
namd_r,1,1,20,1000,180758393
namd_r,1,1,1,500,126597148
namd_r,1,1,5,500,129357301
namd_r,1,1,20,500,180610559
omnetpp_r,1,1,1,1000,293395922
omnetpp_r,1,1,5,1000,311001725
omnetpp_r,1,1,20,1000,403216748
omnetpp_r,1,1,1,500,292225340
omnetpp_r,1,1,5,500,309840928
omnetpp_r,1,1,20,500,402184330
perlbench_r,1,1,1,1000,289991395
perlbench_r,1,1,5,1000,300891976
perlbench_r,1,1,20,1000,374983176
perlbench_r,1,1,1,500,288248262
perlbench_r,1,1,5,500,299616030
perlbench_r,1,1,20,500,373336345
povray_r,1,1,1,1000,161272719
povray_r,1,1,5,1000,167574321
povray_r,1,1,20,1000,232605823
povray_r,1,1,1,500,160943590
povray_r,1,1,5,500,167252662
povray_r,1,1,20,500,232286698
wrf_r,1,1,1,1000,474159689
wrf_r,1,1,5,1000,475374561
wrf_r,1,1,20,1000,489702499
wrf_r,1,1,1,500,450467074
wrf_r,1,1,5,500,451658065
wrf_r,1,1,20,500,465995697
x264_r,1,1,1,1000,215755592
x264_r,1,1,5,1000,222950392
x264_r,1,1,20,1000,265166204
x264_r,1,1,1,500,210725841
x264_r,1,1,5,500,217328865
x264_r,1,1,20,500,260756035
xalancbmk_r,1,1,1,1000,224580503
xalancbmk_r,1,1,5,1000,230285760
xalancbmk_r,1,1,20,1000,285516196
xalancbmk_r,1,1,1,500,224066631
xalancbmk_r,1,1,5,500,229856869
xalancbmk_r,1,1,20,500,285085234
xz_r,1,1,1,1000,223621301
xz_r,1,1,5,1000,243455399
xz_r,1,1,20,1000,309908910
xz_r,1,1,1,500,223255046
xz_r,1,1,5,500,243048907
xz_r,1,1,20,500,309519607
