simulation_name,iewToFetchDelay,cycle_count
blender_r,1,282657278
blender_r,2,285699380
blender_r,4,292434648
cactuBSSN_r,1,145446371
cactuBSSN_r,2,145984038
cactuBSSN_r,4,147437521
cam4_r,1,366166882
cam4_r,2,365402191
cam4_r,4,365749102
deepsjeng_r,1,3642673374
deepsjeng_r,2,3643703263
deepsjeng_r,4,3646195024
exchange2_r,1,140518147
exchange2_r,2,142614507
exchange2_r,4,147404211
fotonik3d_r,1,181885247
fotonik3d_r,2,183042312
fotonik3d_r,4,184848771
gcc_r,1,351159400
gcc_r,2,353325724
gcc_r,4,357236653
imagick_r,1,130185003
imagick_r,2,132401970
imagick_r,4,136465006
lbm_r,1,1186887151
lbm_r,2,1189423833
lbm_r,4,1192002322
leela_r,1,129144245
leela_r,2,130102474
leela_r,4,131974067
mcf_r,1,150874095
mcf_r,2,151114152
mcf_r,4,152284826
nab_r,1,167457527
nab_r,2,172027759
nab_r,4,180137024
namd_r,1,126378379
namd_r,2,127064529
namd_r,4,128480509
omnetpp_r,1,300505056
omnetpp_r,2,304674403
omnetpp_r,4,313363884
perlbench_r,1,288295716
perlbench_r,2,291032303
perlbench_r,4,296965613
povray_r,1,160414656
povray_r,2,161829883
povray_r,4,165051973
wrf_r,1,450467074
wrf_r,2,450841781
wrf_r,4,451475920
x264_r,1,210725827
x264_r,2,212742678
x264_r,4,214990879
xalancbmk_r,1,226341110
xalancbmk_r,2,227645761
xalancbmk_r,4,230400679
xz_r,1,223254948
xz_r,2,228779230
xz_r,4,238728049
